2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=3938&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7808T'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000018
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=265&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7809D'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000019
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=274&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7809DD'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000001A
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=5423&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7809F'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000001B
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=256&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7809P'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000001C
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=3939&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7809T'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000001D
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=266&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7810D'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000001E
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=275&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7810DD'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA6930000001F
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=5424&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7810F'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000020
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=257&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7810P'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000021
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=3940&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7810T'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000022
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=267&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7812D'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000023
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=276&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7812DD'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000024
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=5425&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7812F'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000025
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=258&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7812P'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000026
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=3941&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7812T'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000027
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=268&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7815D'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000028
